web-scraper-order,description_raw,location_raw,price_raw,price,price_cat,mileage_raw,mileage,mileage_cat,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733472593-474,FIAT CARADO A464 2.3 JTD,"UMFAHRUNGSSTRASSE 9, 6467 SCHATTDORF",CHF 33'900.–,33900,20000 - 49999,44'900 km,44900,low,Diesel,1,Schaffhausen,14,47.741600036621094,8.709936141967773
1733472595-475,DETHLEFFS ADVANTAGE I 7051EB,"EISTRASSE 1, 6102 MALTERS",CHF 47'000.–,47000,20000 - 49999,157'000 km,157000,mid,Diesel,1,Zürich,01,47.49706268310547,8.864991188049316
1733472600-476,VW T5 CALIFORNIA 2.0 TDI COMFORTLINE LAST EDITION,"WILERSTRASSE 71, 9200 GOSSAU SG",CHF 36'500.–,36500,20000 - 49999,148'500 km,148500,mid,Diesel,1,Graubünden,18,47.00366973876953,9.525409698486328
1733472609-478,FORD TRANSIT AUTOROLLER,"FORCHSTRASSE 148, 8132 EGG BEI ZÜRICH",CHF 29'900.–,29900,20000 - 49999,88'000 km,88000,low-mid,Diesel,1,Thurgau,20,47.56706237792969,8.858413696289062
1733472612-479,MERCEDES-BENZ MARCO POLO 300 D 4M A,"HAGENHOLZSTRASSE 111, 8050 ZÜRICH",CHF 74'900.–,74900,50000 - 99999,35'500 km,35500,low,Diesel,1,Nidwalden,07,46.934852600097656,8.393327713012695
1733472615-480,MERCEDES-BENZ MARCO POLO ACTIV 250 D 4M,"GRAND-RUE 4, 2606 CORGÉMONT (BIEL-BIENNE/BE - 13 MIN)",CHF 45'999.–,45999,20000 - 49999,123'000 km,123000,mid,Diesel,1,Genève,25,46.193580627441406,6.129368782043457
1733472618-481,FORD CHALLENGER TRIGANO FD4,"PRÉ DE L'OIE 3, 1853 YVORNE",CHF 65'500.–,65500,50000 - 99999,11'800 km,11800,low,Diesel,1,Bern,02,47.11769485473633,7.2922821044921875
1733472626-483,NISSAN NV400 LH2 WOHNMOBIL,"LUZERNERSTRASSE 80, 6014 LUZERN",CHF 39'999.–,39999,20000 - 49999,25'000 km,25000,low,Diesel,1,Thurgau,20,47.65929412841797,9.12209701538086
1733472633-485,CARTHAGO CHIC S-PLUS,"MITTLER-LANGNAU 1, 6105 SCHACHEN LU",CHF 199'000.–,199000,100000 - 199999,20'000 km,20000,low,Diesel,1,Glarus,08,47.049163818359375,9.064384460449219
1733472636-486,MERCEDES-BENZ MARCO POLO 220 D TREND  4M AUTOMAT,"BERNSTRASSE 11, 3250 LYSS",CHF 79'000.–,79000,50000 - 99999,16'000 km,16000,low,Diesel,1,Luzern,03,47.05141830444336,8.273253440856934
1733472640-487,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,"SCHACHENSTRASSE 31, 3421 LYSSACH",CHF 65'900.–,65900,50000 - 99999,12'000 km,12000,low,Diesel,1,Ticino,21,46.15753173828125,8.975666999816895
1733472644-488,"SUNLIGHT CLIFF CVE 640 ADVENTURE EDITION 2,3 DIESEL 9G-AUTOMAT FIAT DUCATO MJ 140","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 59'997.–,59997,50000 - 99999,36'784 km,36784,low,Diesel,1,Nidwalden,07,46.904449462890625,8.393872261047363
1733472647-489,"CHALLENGER 347 GA GRAPHITE EDITION 2,0 TDCI DIESEL AUTOMAT FORD","ZOLLSTRASSE 33, 8240 THAYNGEN(SH)",CHF 56'997.–,56997,50000 - 99999,62'940 km,62940,low-mid,Diesel,1,Nidwalden,07,46.904449462890625,8.393872261047363
1733472650-490,MERCEDES-BENZ MARCO POLO 250 D HORIZON,"BAHNHOFSTRASSE 7, 8353 ELGG",CHF 51'900.–,51900,50000 - 99999,38'000 km,38000,low,Diesel,1,Bern,02,46.757205963134766,7.616790294647217
1733472660-491,VW T6.1 CALIFORNIA 2.0 BI-TDI OCEAN LIBERTY 4MOTION,"UNTERE INDUSTRIE 2, 7304 MAIENFELD",CHF 63'200.–,63200,50000 - 99999,94'241 km,94241,low-mid,Diesel,1,Luzern,03,47.06964874267578,8.319802284240723
1733472664-492,ADRIA CORAL S680 SPL,"RTE DE PORRENTRUY 86, 2800 DELÉMONT",CHF 29'900.–,29900,20000 - 49999,108'000 km,108000,mid,Diesel,1,Obwalden,06,46.942352294921875,8.272114753723145
1733472669-493,VW T6.1 CALIFORNIA 2.0 TDI OCEAN EDITION 4MOTION,"EICHÄCKERSTRASSE 1, 8500 FRAUENFELD",CHF 76'800.–,76800,50000 - 99999,20'900 km,20900,low,Diesel,1,Basel-Landschaft,13,47.415218353271484,7.844275951385498
