web-scraper-order,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw,price,mileage,fuel_type_Diesel,price_cat,mileage_cat,lat,lon
1733476339-1363,VW T3,CHF 16'000.–,138'330 km,Benzin,3098 Schliern,16000,138330,0,0 - 19999,mid,47.19585418701172,8.449189186096191
1733476342-1364,VW T6 California 2.0 Bi-TDI Ocean GREY 4Motion,CHF 74'800.–,12'500 km,Diesel,9496 Balzers,74800,12500,1,50000 - 99999,low,47.27771759033203,8.451860427856445
1733476345-1365,CONCORDE Credo emotion I 783 L,CHF 72'500.–,90'000 km,Diesel,6162 finsterwald,72500,90000,1,50000 - 99999,low-mid,47.45597457885742,8.637772560119629
1733476349-1366,LAIKA Ecovip 1 Classic D,CHF 54'900.–,18'161 km,Diesel,3018 Bern,54900,18161,1,50000 - 99999,low,46.957950592041016,7.514028072357178
1733476352-1367,VW T6.1 California 2.0 TDI Beach Edition Liberty,CHF 52'000.–,48'000 km,Diesel,6043 Adligenswil,52000,48000,1,50000 - 99999,low,47.40140151977539,9.639749526977539
1733476359-1368,VW T6.1 California 2.0 TDI Ocean Liberty,CHF 66'900.–,23'000 km,Diesel,"Via S. Gottardo 71, 6500 Bellinzona",66900,23000,1,50000 - 99999,low,46.941749572753906,7.41060209274292
1733476362-1369,MERCEDES-BENZ 250 4M,CHF 57'777.–,50'100 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",57777,50100,1,50000 - 99999,low-mid,47.285640716552734,7.9482502937316895
1733476398-1380,VW T6 California 2.0 TDI Ocean,CHF 47'500.–,67'000 km,Diesel,1288 Aire-la-Ville,47500,67000,1,20000 - 49999,low-mid,46.6788444519043,6.961752414703369
1733476400-1381,VW T6 California 2.0 TDI Ocean Liberty,CHF 37'000.–,143'000 km,Diesel,8400 Winterthur,37000,143000,1,20000 - 49999,mid,47.51799392700195,8.762868881225586
1733476403-1382,VW T6.1 California Beach Edition - 4Motion -   2.0 TDI  * 2 Schiebetüren / 7 Sitze / AHK *,CHF 69'980.–,60'080 km,Diesel,3425 Koppigen,69980,60080,1,50000 - 99999,low-mid,47.222015380859375,8.236207008361816
1733476406-1383,MAN TGX 18.360-Weatherheaven,CHF 225'000.–,295'000 km,Diesel,7550 Scuol,225000,295000,1,200000 - 499999,mid-high,46.04587173461914,8.986250877380371
1733476410-1384,VW T6.1 California 2.0 TDI Ocean Liberty 4Motion,CHF 78'500.–,12'600 km,Diesel,8309 Nürensdorf,78500,12600,1,50000 - 99999,low,47.51556396484375,8.970215797424316
1733476413-1385,RENAULT T35 dCi125,CHF 22'900.–,85'000 km,Diesel,3806 Bönigen b. Interlaken,22900,85000,1,20000 - 49999,low-mid,47.164215087890625,8.514854431152344
1733476416-1386,MORELO,CHF 179'900.–,35'000 km,Diesel,3297 Leuzigen,179900,35000,1,100000 - 199999,low,46.88990783691406,7.498713970184326
1733476419-1387,VW T6.1 California 2.0 TDI Beach Edition Spirit,CHF 64'500.–,10'000 km,Diesel,1880 BEX,64500,10000,1,50000 - 99999,low,47.752769470214844,8.70417594909668
1733476429-1388,CHAUSSON Trigano Flash 08 M06,CHF 29'777.–,66'300 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",29777,66300,1,20000 - 49999,low-mid,47.20697784423828,9.264456748962402
1733476441-1392,KNAUS KED Weinsberg Imperiale,CHF 33'777.–,124'400 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",33777,124400,1,20000 - 49999,mid,47.28510284423828,8.562883377075195
1733476444-1393,KNAUS Tabbert,CHF 34'777.–,117'500 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",34777,117500,1,20000 - 49999,mid,47.51616287231445,8.720686912536621
1733476447-1394,PEUGEOT Boxer 15Q 2.85HDI,CHF 17'777.–,141'000 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",17777,141000,1,0 - 19999,mid,47.40205001831055,8.60916519165039
1733476453-1396,BÜRSTNER A535,CHF 27'777.–,123'600 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",27777,123600,1,20000 - 49999,mid,46.3934440612793,6.922110557556152
1733476456-1397,CHALLENGER Trigano FI1,CHF 27'777.–,130'900 km,Diesel,"Sulzer-Allee 41, 8404 Winterthur",27777,130900,1,20000 - 49999,mid,47.315032958984375,9.082744598388672
1733476462-1399,CONCORDE Charisma 890M / Chassis MAN TGL,CHF 159'900.–,155'500 km,Diesel,3280 Murten,159900,155500,1,100000 - 199999,mid,47.327518463134766,8.63122844696045
